0 10500 10500 0
1 10500 10422 0
2 10422 10368 0
3 10368 10351 0
4 10351 10336 0
5 10336 10336 0
6 10336 10318 0
7 10318 10318 0
8 10318 10318 0
9 10318 10318 0
10 10318 10318 0
11 10318 10309 0
12 10309 10247 0
13 10247 10247 0
14 10247 10206 0
15 10206 10195 0
16 10195 10195 0
17 10195 10195 0
18 10195 10195 0
19 10195 10195 0
20 10195 10195 0
21 10195 10185 0
22 10281 10174 0
23 10383 10174 0
24 10497 10154 0
25 10600 10154 0
26 10722 10111 0
27 10814 10111 0
28 10954 10087 0
29 11068 10087 0
30 11226 10070 0
31 11361 10026 0
32 11481 10014 0
33 11639 10014 0
34 11819 10014 0
35 11996 9919 0
36 12071 9919 0
37 12267 9896 0
38 12426 9883 0
39 12610 9883 0
40 12823 9873 0
41 13032 9838 0
42 13197 9838 92
43 13426 9838 201
44 13650 9819 310
45 13846 9811 428
46 14080 9749 543
47 14232 9749 670
48 14490 9719 802
49 14707 9719 931
50 14965 9669 1052
51 15133 9649 1166
52 15170 9649 1270
53 15225 9642 1364
54 15425 9595 1463
55 15571 9567 1530
56 15722 9567 1590
57 15898 9567 1661
58 16099 9567 1725
59 16284 9559 1777
60 16461 9402 1861
61 16486 9222 1912
62 16430 9066 1941
63 16423 8894 2033
64 16467 8744 2079
65 16466 8564 2141
66 16431 8404 2202
67 16445 8227 2255
68 16402 8044 2313
69 16320 7856 2389
70 16261 7648 2439
71 16193 7491 2508
72 16229 7295 2415
73 16162 7131 2314
74 16173 6962 2363
75 16178 6825 2434
76 16172 6614 2501
77 16054 6483 2548
78 16044 6308 2602
79 15960 6130 2680
80 15908 5976 2807
81 15979 5789 2900
82 15919 5608 2953
83 15887 5420 3057
84 15889 5266 3165
85 15974 5095 3233
86 16029 4946 3284
87 16172 4767 3354
88 16144 4623 3404
89 16289 4474 3462
90 16391 4313 3470
91 16442 4160 3515
92 16549 4012 3540
93 16634 3877 3567
94 16817 3739 3591
95 16943 3599 3655
96 17176 3426 3673
97 17294 3282 3720
98 17554 3117 3758
99 17774 2973 3766
100 17991 2822 3787
101 18240 2678 3864
102 18560 2554 3894
103 18869 2401 3972
104 19207 2251 4007
105 19539 2102 4137
106 19922 1941 4229
107 20217 1789 4380
108 20569 1633 4497
109 20945 1461 4727
110 21372 1298 4869
111 21740 1161 5051
112 21656 1015 5212
113 21972 873 5350
114 22335 716 5528
115 22740 585 5722
116 23292 420 5916
117 23737 269 6068
118 24140 149 6298
119 24749 0 6474
120 25261 0 6682
121 25875 0 6877
122 26478 0 7099
123 27106 0 7246
124 27742 0 7419
125 28501 0 7625
126 29169 0 7864
127 29868 0 8013
128 30624 0 8161
129 31470 0 8315
130 32278 0 8562
131 33199 0 8745
132 33953 0 8436
133 34835 0 8564
134 35793 0 8693
135 36592 0 8933
136 37552 0 9188
137 38493 0 9412
138 39324 0 9562
139 40303 0 9930
140 41227 0 10256
141 42316 0 10527
142 42389 0 10831
143 43448 0 11149
144 44219 0 11488
145 44874 0 11957
146 45741 0 12301
147 46440 0 12613
148 47156 0 12949
149 47703 0 13364
150 47938 0 13758
151 48199 0 14197
152 48647 0 14405
153 48808 0 14797
154 49092 0 15264
155 49144 0 15553
156 49219 0 15998
157 49418 0 16414
158 49414 0 16652
159 49399 0 17033
160 49313 0 17341
161 49199 0 17773
162 48864 0 17173
163 48367 0 17513
164 47973 0 17563
165 47581 0 17516
166 46868 0 17657
167 46271 0 17644
168 45725 0 17575
169 44872 0 17513
170 44224 0 17152
171 43442 0 16949
172 43534 0 16943
173 43866 0 16679
174 43240 0 16554
175 42754 0 16240
176 42197 0 15982
177 41388 0 15816
178 40535 0 15564
179 39966 0 15444
180 39502 0 15261
181 38689 0 15077
182 38013 0 14781
183 37432 0 14286
184 36712 0 13964
185 36031 0 13733
186 35543 0 13123
187 34746 0 12803
188 34098 0 12471
189 33408 0 12080
190 32697 0 11855
191 31979 0 11562
192 31426 0 12067
193 30736 0 12775
194 30000 0 12687
195 29322 0 12700
196 28591 0 12678
197 28116 0 12465
198 27551 0 12244
199 26984 0 12183
200 26369 0 12081
201 25537 0 11585
202 25400 0 11174
203 25317 0 10803
204 24522 0 10461
205 23848 0 10090
206 23080 0 9883
207 22327 0 9464
208 21699 0 9189
209 21171 0 8965
210 20694 0 8729
211 20239 0 8425
212 19802 0 8228
213 19328 0 7889
214 18874 0 7437
215 18403 0 7040
216 17998 0 6637
217 17708 0 6494
218 17482 0 6229
219 17230 0 5958
220 17315 340 5806
221 17469 630 5506
222 17556 928 5990
223 17773 1254 6530
224 17969 1590 6456
225 18336 1972 6406
226 18622 2372 6320
227 18870 2698 6193
228 19086 2979 6247
229 19412 3324 6210
230 19528 3629 6116
231 19579 3921 5900
232 19724 4196 5689
233 19860 4490 5574
234 20103 4793 5382
235 20123 5044 5203
236 20072 5303 5000
237 20128 5676 4986
238 20153 5974 5038
239 20385 6325 5097
240 20556 6616 5142
241 20512 7008 5167
242 20366 7353 5187
243 20329 7756 5266
244 20276 8137 5309
245 20055 8365 5352
246 19763 8562 5254
247 19438 8766 5192
248 19111 8942 5128
249 18736 9098 5108
250 18466 9291 4974
251 18179 9482 4877
252 17877 9669 4915
253 17581 9837 4906
